,PLAYER_ID,TEAM_ID,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,PLAYER_NAME,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,SEASON,TEAM_ABBREVIATION
123,201595,1610612761,11,32,521.98,1006,0.425,0.0,Joey Dorsey,27.0,6-8,268,43,0.078,2010-11,TOR
124,101181,1610612761,18,50,2102.203333333333,4197,0.037000000000000005,0.262,Jose Calderon,29.0,6-3,210,68,0.41200000000000003,2010-11,TOR
125,201153,1610612761,9,43,765.9616666666667,1507,0.23800000000000002,0.063,Julian Wright,24.0,6-8,225,52,0.11,2010-11,TOR
126,2571,1610612761,17,41,1394.6133333333332,2774,0.047,0.326,Leandro Barbosa,28.0,6-3,202,58,0.147,2010-11,TOR
127,101132,1610612761,12,27,1031.9616666666666,2054,0.084,0.32299999999999995,Linas Kleiza,26.0,6-8,245,39,0.06,2010-11,TOR
128,2556,1610612761,1,2,21.75,46,0.0,0.0,Marcus Banks,29.0,6-2,205,3,0.188,2010-11,TOR
129,2501,1610612761,11,19,798.13,1545,0.115,0.01,Reggie Evans,31.0,6-8,245,30,0.07,2010-11,TOR
130,2648,1610612761,0,3,12.751666666666667,25,0.0,0.25,Ronald Dupree,30.0,6-7,209,3,0.125,2010-11,TOR
131,202374,1610612761,1,11,59.01,116,0.5,0.0,Solomon Alabi,23.0,7-1,251,12,0.051,2010-11,TOR
132,201603,1610612761,17,42,1413.188333333333,2836,0.017,0.11900000000000001,Sonny Weems,24.0,6-6,203,59,0.12,2010-11,TOR
133,202087,1610612739,16,40,1117.3883333333333,2185,0.207,0.193,Alonzo Gee,24.0,6-6,220,56,0.055999999999999994,2010-11,CLE
134,2760,1610612739,8,23,993.895,1944,0.5,0.009000000000000001,Anderson Varejao,28.0,6-11,260,31,0.07400000000000001,2010-11,CLE
135,1712,1610612739,9,47,1842.196666666667,3665,0.184,0.3,Antawn Jamison,35.0,6-9,235,56,0.092,2010-11,CLE
136,1515,1610612739,18,54,2091.18,4119,0.06,0.41100000000000003,Anthony Parker,36.0,6-6,210,72,0.16399999999999998,2010-11,CLE
137,1884,1610612739,24,34,1649.2883333333334,3217,0.18100000000000002,0.345,Baron Davis,32.0,6-3,215,58,0.38799999999999996,2010-11,CLE
138,201963,1610612739,10,34,946.885,1884,0.252,0.297,Christian Eyenga,22.0,6-5,210,44,0.061,2010-11,CLE
139,200789,1610612739,18,49,1865.031666666667,3683,0.136,0.444,Daniel Gibson,25.0,6-2,200,67,0.185,2010-11,CLE
140,201581,1610612739,19,61,2256.32,4464,0.278,0.005,JJ Hickson,22.0,6-9,242,80,0.075,2010-11,CLE
141,101214,1610612739,6,20,391.11166666666674,775,0.15,0.35700000000000004,Jawad Williams,28.0,6-9,225,26,0.09300000000000001,2010-11,CLE
142,101121,1610612739,9,30,586.25,1149,0.171,0.168,Joey Graham,29.0,6-7,230,39,0.054000000000000006,2010-11,CLE
143,202376,1610612739,29,20,640.6383333333333,1267,0.25,0.32,Luke Harangody,23.0,6-7,251,49,0.078,2010-11,CLE
144,202412,1610612739,7,47,933.3466666666667,1846,0.07400000000000001,0.318,Manny Harris,21.0,6-5,185,54,0.153,2010-11,CLE
145,201196,1610612739,19,62,2132.701666666667,4239,0.042,0.019,Ramon Sessions,25.0,6-3,190,81,0.35100000000000003,2010-11,CLE
146,200797,1610612739,17,53,1181.5816666666667,2301,0.467,0.0,Ryan Hollins,26.0,7-0,240,70,0.035,2010-11,CLE
147,202396,1610612739,4,33,701.4166666666665,1390,0.254,0.012,Samardo Samuels,22.0,6-9,260,37,0.043,2010-11,CLE
148,201623,1610612739,31,10,594.8816666666668,1145,0.40700000000000003,0.0,Semih Erden,24.0,6-11,240,41,0.054000000000000006,2010-11,CLE
149,2405,1610612752,39,39,2870.0116666666668,5770,0.42700000000000005,0.016,Amar'e Stoudemire,28.0,6-10,240,78,0.128,2010-11,NYK
150,202360,1610612752,2,3,24.1,49,0.0,0.5710000000000001,Andy Rautins,24.0,6-4,190,5,0.25,2010-11,NYK
151,1853,1610612752,20,13,463.29666666666674,948,0.128,0.377,Anthony Carter,36.0,6-2,195,33,0.23399999999999999,2010-11,NYK
152,2546,1610612752,43,34,2751.25,5506,0.17600000000000002,0.16699999999999998,Carmelo Anthony,27.0,6-8,230,77,0.149,2010-11,NYK
153,1497,1610612752,38,34,2310.143333333333,4613,0.064,0.457,Chauncey Billups,34.0,6-3,210,72,0.266,2010-11,NYK
154,201974,1610612752,22,27,575.3666666666667,1125,0.152,0.076,Derrick Brown,23.0,6-8,220,49,0.09300000000000001,2010-11,NYK
155,201611,1610612752,32,29,783.91,1606,0.07,0.648,Henry Walker,23.0,6-6,220,61,0.069,2010-11,NYK
156,2407,1610612752,20,22,601.0583333333333,1175,0.298,0.105,Jared Jeffries,29.0,6-11,240,42,0.079,2010-11,NYK
157,202361,1610612752,42,40,2541.328333333333,5156,0.054000000000000006,0.364,Landry Fields,23.0,6-7,210,82,0.087,2010-11,NYK
158,200764,1610612752,6,2,62.655,135,0.28600000000000003,0.154,Renaldo Balkman,26.0,6-8,208,8,0.047,2010-11,NYK
159,2427,1610612752,10,16,319.0133333333333,637,0.065,0.5710000000000001,Roger Mason Jr.,30.0,6-5,205,26,0.099,2010-11,NYK
160,101142,1610612752,32,32,1140.6933333333334,2306,0.47700000000000004,0.0,Ronny Turiaf,28.0,6-10,245,64,0.122,2010-11,NYK
161,200761,1610612752,33,31,1323.105,2680,0.36200000000000004,0.551,Shawne Williams,25.0,6-9,230,64,0.054000000000000006,2010-11,NYK
162,200749,1610612752,38,21,910.3683333333332,1846,0.317,0.0,Shelden Williams,27.0,6-9,250,59,0.053,2010-11,NYK
163,201962,1610612752,41,40,1971.075,4004,0.017,0.507,Toney Douglas,25.0,6-2,185,81,0.20199999999999999,2010-11,NYK
164,101154,1610612764,21,43,2171.931666666667,4316,0.192,0.019,Andray Blatche,24.0,6-11,260,64,0.115,2010-11,WAS
165,201858,1610612764,19,33,542.1883333333334,1097,0.08199999999999999,0.544,Cartier Martin,26.0,6-7,220,52,0.05,2010-11,WAS
166,202380,1610612764,3,13,80.17666666666666,164,0.625,0.0,Hamady Ndiaye,24.0,7-0,235,16,0.0,2010-11,WAS
167,201580,1610612764,23,56,2192.56,4323,0.605,0.005,JaVale McGee,23.0,7-0,252,79,0.027000000000000003,2010-11,WAS
