,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,CFID,CFPARAMS
12,101154,Andray Blatche,1610612764,WAS,25.0,26,7,19,0.269,626.0133333333333,108.3,108,0.196,0.29,20,0.179,17,0.218,207,153,207,550,0.7,371,390,190,436,303,427,232,54,71,278,280,185,162,170,159,205,182,380,5,"101154,1610612764"
13,2765,Andre Emmett,1610612751,NJN,29.0,6,2,4,0.333,44.91,98.9,4,0.078,0.148,2,0.286,1,0.167,27,18,12,36,0.19,452,449,35,384,460,121,462,391,318,435,53,414,213,30,28,20,15,439,5,"2765,1610612751"
14,2738,Andre Iguodala,1610612755,PHI,28.0,62,33,29,0.532,2209.105,97.0,325,0.144,0.219,107,0.283,30,0.122,551,555,458,1608,10.25,106,103,344,211,13,77,30,173,179,7,56,108,266,374,444,380,416,3,5,"2738,1610612755"
15,1889,Andre Miller,1610612743,DEN,36.0,66,38,28,0.576,1808.9183333333333,104.4,168,0.092,0.146,63,0.209,9,0.049,610,498,403,1404,4.16,1,54,330,164,72,338,137,325,322,55,189,261,390,411,402,341,370,142,5,"1889,1610612743"
16,200745,Andrea Bargnani,1610612761,TOR,26.0,31,13,18,0.419,1031.6916666666666,104.7,148,0.148,0.227,18,0.124,15,0.161,317,270,287,860,2.28,341,344,177,316,222,343,175,153,160,296,402,207,220,235,248,263,260,252,5,"200745,1610612761"
17,2804,Andres Nocioni,1610612755,PHI,32.0,11,9,2,0.818,55.65,102.7,13,0.236,0.325,1,0.1,1,0.167,18,12,23,48,0.17,428,376,14,12,456,275,427,11,36,449,438,414,213,20,19,37,23,442,5,"2804,1610612755"
18,101106,Andrew Bogut,1610612749,MIL,27.0,12,7,5,0.583,363.7183333333333,94.5,78,0.214,0.332,12,0.2,24,0.5,117,86,103,262,1.94,426,390,44,157,358,36,288,30,28,343,211,133,40,112,111,122,116,280,5,"101106,1610612749"
19,101115,Andrew Bynum,1610612747,LAL,24.0,60,38,22,0.633,2111.54,101.3,517,0.234,0.343,27,0.111,116,0.483,744,546,651,1762,6.96,131,54,240,92,30,217,2,15,17,229,420,6,53,460,438,466,439,43,5,"101115,1610612747"
20,202726,Andrew Goudelock,1610612747,LAL,23.0,40,24,16,0.6,418.6016666666667,101.1,26,0.061,0.091,4,0.111,0,0.0,136,114,127,354,1.38,293,189,152,134,350,207,389,452,458,412,420,441,441,124,133,143,133,320,5,"202726,1610612747"
21,2740,Andris Biedrins,1610612744,GSW,26.0,47,17,30,0.362,738.62,107.5,131,0.185,0.296,23,0.192,45,0.529,259,244,267,620,0.98,250,293,354,356,281,416,198,73,61,253,241,64,33,203,235,242,198,361,5,"2740,1610612744"
22,1712,Antawn Jamison,1610612739,CLE,36.0,65,20,45,0.308,2150.99,110.2,285,0.139,0.221,51,0.165,43,0.25,754,665,522,2068,1.1,37,251,464,413,21,457,46,185,173,100,308,71,145,461,472,419,474,353,5,"1712,1610612739"
23,1853,Anthony Carter,1610612761,TOR,37.0,24,5,19,0.208,209.32333333333332,95.5,28,0.135,0.196,8,0.242,4,0.148,95,68,49,144,1.14,382,419,190,447,397,48,385,194,215,370,103,338,237,99,89,66,71,346,5,"1853,1610612761"
24,201627,Anthony Morrow,1610612751,NJN,26.0,62,20,42,0.323,1636.3483333333334,106.2,96,0.063,0.102,46,0.186,9,0.063,587,419,517,1484,2.89,106,251,448,404,112,387,255,450,444,126,260,261,359,394,354,417,386,212,5,"201627,1610612751"
25,1515,Anthony Parker,1610612739,CLE,37.0,51,15,36,0.294,1280.3033333333333,109.9,128,0.108,0.166,38,0.196,7,0.081,476,377,329,1274,0.75,217,320,417,421,181,453,202,273,274,163,223,290,329,326,320,288,344,374,5,"1515,1610612739"
26,201576,Anthony Randolph,1610612750,MIN,22.0,34,10,24,0.294,516.5483333333333,102.7,81,0.147,0.237,13,0.178,35,0.565,223,166,163,488,1.52,325,366,272,421,325,273,283,160,146,332,281,93,28,181,174,167,166,310,5,"201576,1610612750"
27,201229,Anthony Tolliver,1610612750,MIN,27.0,51,17,34,0.333,881.5,103.2,103,0.113,0.182,18,0.148,19,0.247,320,261,350,762,2.41,217,293,405,384,252,296,244,254,246,296,355,170,151,237,241,302,235,246,5,"201229,1610612750"
28,202356,Armon Johnson,1610612751,NJN,23.0,9,2,7,0.222,124.30833333333334,95.7,12,0.094,0.138,5,0.263,0,0.0,35,23,37,104,0.67,436,449,61,443,423,52,431,318,342,402,75,441,441,38,37,54,48,385,5,"202356,1610612751"
29,201167,Arron Afflalo,1610612743,DEN,26.0,62,36,26,0.581,2086.391666666667,105.2,157,0.076,0.114,36,0.106,13,0.063,781,538,537,1728,4.29,106,65,308,160,33,360,154,405,417,179,434,224,360,465,433,430,437,134,5,"201167,1610612743"
