,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
362,203943,Noah Vonleh,1610612766,CHA,19.0,25,8,17,0.32,258.51666666666665,15,27,0,44,66,70,58,176,9,12,20,24,220.2,403,415,131,397,406,393,334,465,373,70,85,78,73,295,178,73,373,394,5,"203943,1610612766"
363,202708,Norris Cole,1610612740,NOP,26.0,75,37,38,0.493,1831.1083333333333,103,25,85,202,535,525,429,1612,15,27,124,91,1263.3,100,135,377,242,135,163,339,142,201,322,376,322,360,222,307,294,213,180,5,"202708,1610612740"
364,201564,O.J. Mayo,1610612749,MIL,27.0,71,39,32,0.549,1697.365,156,68,124,250,603,513,386,1472,18,29,165,119,1422.9,147,115,310,190,153,72,186,79,164,359,369,293,340,193,324,407,169,147,5,"201564,1610612749"
365,203136,Ognjen Kuzmic,1610612744,GSW,25.0,16,13,3,0.813,71.73666666666666,6,4,2,10,44,33,40,66,1,0,13,2,53.4,434,361,25,19,458,431,437,442,442,52,56,58,36,414,1,49,466,453,5,"203136,1610612744"
366,201600,Omer Asik,1610612740,NOP,28.0,76,43,33,0.566,1981.8083333333334,61,195,18,424,605,464,592,1814,54,89,144,184,1716.6,87,85,328,182,112,249,21,332,72,365,344,418,395,56,487,350,87,100,5,"201600,1610612740"
367,201956,Omri Casspi,1610612758,SAC,27.0,67,23,44,0.343,1416.3816666666667,111,85,158,334,592,387,516,1392,9,34,107,139,1090.0,185,265,433,379,205,141,147,54,110,352,285,369,324,295,362,257,131,211,5,"201956,1610612758"
368,203490,Otto Porter Jr.,1610612764,WAS,22.0,74,41,33,0.554,1432.055,84,57,97,176,460,411,308,1126,30,18,97,75,977.7,116,95,328,188,200,197,224,117,227,285,300,254,273,118,233,236,249,231,5,"203490,1610612764"
369,200782,P.J. Tucker,1610612756,PHX,30.0,78,36,42,0.462,2383.45,126,113,143,264,854,671,755,2164,23,32,179,160,1792.4,64,155,412,279,46,117,96,61,154,473,456,477,457,149,344,426,105,88,5,"200782,1610612756"
370,203798,PJ Hairston,1610612766,CHA,22.0,45,19,26,0.422,687.2733333333333,49,42,28,48,213,206,172,558,13,11,61,35,475.9,323,296,234,320,331,285,279,285,364,147,172,152,153,249,170,160,348,339,5,"203798,1610612766"
371,203143,Pablo Prigioni,1610612745,HOU,38.0,67,25,42,0.373,1196.6283333333333,59,17,34,46,406,299,290,996,1,4,88,63,851.3,185,247,412,359,243,256,372,263,370,252,234,240,248,414,89,219,277,257,5,"203143,1610612745"
372,201976,Patrick Beverley,1610612745,HOU,26.0,56,35,21,0.625,1726.6783333333333,104,67,64,158,663,494,540,1540,23,35,182,78,1303.4,272,166,176,117,148,156,193,185,242,394,359,393,352,149,367,430,246,172,5,"201976,1610612745"
373,203565,Patrick Christopher,1610612763,MEM,27.0,4,2,2,0.5,28.733333333333334,0,0,2,2,13,3,9,22,0,2,6,1,15.2,476,463,11,227,475,472,463,442,471,18,11,18,15,442,46,24,472,475,5,"203565,1610612763"
374,202335,Patrick Patterson,1610612761,TOR,26.0,81,49,32,0.605,2156.29,127,123,32,194,591,624,497,1916,44,20,149,82,1658.1,29,45,310,141,80,116,79,270,211,351,433,357,417,78,244,370,235,110,5,"202335,1610612761"
375,201988,Patty Mills,1610612759,SAS,26.0,51,37,14,0.725,801.33,82,33,48,54,261,204,237,704,2,12,58,50,626.5,291,135,105,39,312,204,307,223,356,172,169,191,184,398,178,150,310,311,5,"201988,1610612759"
376,2200,Pau Gasol,1610612741,CHI,34.0,78,48,30,0.615,2680.7433333333333,166,274,64,720,816,770,739,2308,147,61,147,324,3221.8,64,53,286,126,14,56,7,185,13,455,484,476,476,7,459,361,14,7,5,"2200,1610612741"
377,202331,Paul George,1610612754,IND,25.0,6,5,1,0.833,90.91666666666667,11,7,2,8,38,32,13,72,1,0,11,8,94.4,464,442,5,9,448,407,422,442,449,47,55,25,37,414,1,41,431,438,5,"202331,1610612754"
378,200794,Paul Millsap,1610612737,ATL,30.0,73,55,18,0.753,2389.5333333333333,238,178,108,624,763,734,558,2044,69,65,201,291,2667.5,130,16,143,27,45,19,26,98,26,428,476,402,443,38,467,457,21,21,5,"200794,1610612737"
379,1718,Paul Pierce,1610612764,WAS,37.0,73,40,33,0.548,1913.665,121,78,97,206,632,477,486,1524,24,32,160,171,1554.8,130,106,328,191,122,125,159,117,198,376,352,351,348,145,344,392,93,124,5,"1718,1610612764"
